source,epoch,run,time(ms),error_value
Python,10000,0,44,-0.09655129962782993
Python,10000,1,61,-0.09655129962782993
Python,10000,2,49,-0.09655129962782993
Python,10000,3,49,-0.09655129962782993
Python,10000,4,42,-0.09655129962782993
Python,10000,5,31,-0.09655129962782993
Python,10000,6,31,-0.09655129962782993
Python,10000,7,31,-0.09655129962782993
Python,10000,8,37,-0.09655129962782993
Python,10000,9,30,-0.09655129962782993
Python,10000,10,30,-0.09655129962782993
Python,10000,11,35,-0.09655129962782993
Python,10000,12,37,-0.09655129962782993
Python,10000,13,30,-0.09655129962782993
Python,10000,14,31,-0.09655129962782993
Python,10000,15,30,-0.09655129962782993
Python,10000,16,37,-0.09655129962782993
Python,10000,17,30,-0.09655129962782993
Python,10000,18,30,-0.09655129962782993
Python,10000,19,33,-0.09655129962782993
Python,20000,0,74,-0.011802630007137438
Python,20000,1,63,-0.011802630007137438
Python,20000,2,69,-0.011802630007137438
Python,20000,3,61,-0.011802630007137438
Python,20000,4,68,-0.011802630007137438
Python,20000,5,62,-0.011802630007137438
Python,20000,6,70,-0.011802630007137438
Python,20000,7,63,-0.011802630007137438
Python,20000,8,69,-0.011802630007137438
Python,20000,9,63,-0.011802630007137438
Python,20000,10,71,-0.011802630007137438
Python,20000,11,61,-0.011802630007137438
Python,20000,12,75,-0.011802630007137438
Python,20000,13,63,-0.011802630007137438
Python,20000,14,70,-0.011802630007137438
Python,20000,15,61,-0.011802630007137438
Python,20000,16,68,-0.011802630007137438
Python,20000,17,61,-0.011802630007137438
Python,20000,18,68,-0.011802630007137438
Python,20000,19,63,-0.011802630007137438
Python,40000,0,132,-0.00017636813838528553
Python,40000,1,130,-0.00017636813838528553
Python,40000,2,129,-0.00017636813838528553
Python,40000,3,140,-0.00017636813838528553
Python,40000,4,139,-0.00017636813838528553
Python,40000,5,134,-0.00017636813838528553
Python,40000,6,128,-0.00017636813838528553
Python,40000,7,129,-0.00017636813838528553
Python,40000,8,130,-0.00017636813838528553
Python,40000,9,130,-0.00017636813838528553
Python,40000,10,131,-0.00017636813838528553
Python,40000,11,132,-0.00017636813838528553
Python,40000,12,129,-0.00017636813838528553
Python,40000,13,131,-0.00017636813838528553
Python,40000,14,130,-0.00017636813838528553
Python,40000,15,130,-0.00017636813838528553
Python,40000,16,131,-0.00017636813838528553
Python,40000,17,132,-0.00017636813838528553
Python,40000,18,167,-0.00017636813838528553
Python,40000,19,147,-0.00017636813838528553
Python,80000,0,257,-3.938245818346786e-08
Python,80000,1,254,-3.938245818346786e-08
Python,80000,2,255,-3.938245818346786e-08
Python,80000,3,258,-3.938245818346786e-08
Python,80000,4,255,-3.938245818346786e-08
Python,80000,5,256,-3.938245818346786e-08
Python,80000,6,259,-3.938245818346786e-08
Python,80000,7,258,-3.938245818346786e-08
Python,80000,8,261,-3.938245818346786e-08
Python,80000,9,253,-3.938245818346786e-08
Python,80000,10,257,-3.938245818346786e-08
Python,80000,11,250,-3.938245818346786e-08
Python,80000,12,255,-3.938245818346786e-08
Python,80000,13,251,-3.938245818346786e-08
Python,80000,14,253,-3.938245818346786e-08
Python,80000,15,253,-3.938245818346786e-08
Python,80000,16,254,-3.938245818346786e-08
Python,80000,17,251,-3.938245818346786e-08
Python,80000,18,260,-3.938245818346786e-08
Python,80000,19,255,-3.938245818346786e-08
